language,page_url,image_url,page_title,section_title,hierarchical_section_title,caption_reference_description,caption_attribution_description,caption_alt_text_description,mime_type,original_height,original_width,is_main_image,attribution_passes_lang_id,page_changed_recently,context_page_description,context_section_description,index,image_path,Index
en,https://en.wikipedia.org/wiki/InflateSail,https://upload.wikimedia.org/wikipedia/commons/0/02/InflateSail_August.jpg,InflateSail,Altitude loss,InflateSail / Altitude loss,Change in average orbit height during August 2017[11],English: InflateSail Orbit Average Height for August 2017,Change in average orbit height during August 2017,image/jpeg,400,600,FALSE,TRUE,FALSE,"InflateSail was a 3U CubeSat launched on PSLV C38 on 23 June 2017 into a 505 km polar Sun-synchronous orbit. It carried a 1 m long inflatable rigidizable mast, and a 10 m² drag-deorbiting sail. Its primary aim was to demonstrate the effectiveness of drag based deorbiting from low Earth orbit. Built by Surrey Space Centre of the University of Surrey, it was one of the Technology Demonstrator CubeSats for the QB50 mission. An identical drag sail payload was planned to be included on the RemoveDEBRIS demonstrator.",InflateSail successfully deployed its sail approximately one hour after ejection from the launch vehicle and was the first European sail successfully deployed in space. InflateSail rapidly lost altitude and decayed on 3 September 2017 after 72 days in orbit.,183840,train-0-183840.jpg,183840
en,https://en.wikipedia.org/wiki/European_debt_crisis,https://upload.wikimedia.org/wikipedia/commons/4/4f/Portuguese_debt_and_EU_average.png,European debt crisis,Portugal,European debt crisis / Evolution of the crisis / Portugal,Debt of Portugal compared to eurozone average since 1999,"English: Portuguese debt history since 1999. 1999-2011: Eurostat data: http://epp.eurostat.ec.europa.eu/portal/page/portal/government_finance_statistics/data/main_tables (see ""General government gross debt"") (see also: epp.eurostat.ec.europa.eu/cache/ITY_PUBLIC/2-23042012-AP/DE/2-23042012-AP-DE.PDF) 2010-2015: Eurostat data: http://ec.europa.eu/economy_finance/publications/european_economy/2013/pdf/ee7_en.pdf (latest update: October 2013) 2016-2017: Once Ernst &amp; Young updates their forecasts, then we could use their data as well: 2015-2016 estimates from Ernst &amp; Young using data from Oxford Economics http://ey-charts.living-digital.com/view-chart?key=19&#160;; see also: http://www.ey.com/GL/en/Issues/Business-environment/EUROZONE-COUNTRY (latest update: June 2012)",Portuguese debt compared to eurozone average,image/png,681,703,FALSE,TRUE,TRUE,"The European debt crisis is a multi-year debt crisis that has been taking place in the European Union since the end of 2009. Several eurozone member states were unable to repay or refinance their government debt or to bail out over-indebted banks under their national supervision without the assistance of third parties like other eurozone countries, the European Central Bank, or the International Monetary Fund.
The eurozone crisis was caused by a balance-of-payments crisis. The crisis was worsened by the inability of states to resort to devaluation. Debt accumulation in some eurozone members was in part due to macroeconomic differences among eurozone member states prior to the adoption of the euro. The European Central Bank adopted an interest rate that incentivized investors in Northern eurozone members to lend to the South, whereas the South was incentivized to borrow. Over time, this led to the accumulation of deficits in the South, primarily by private economic actors. A lack of fiscal policy coordination among eurozone member states contributed to imbalanced capital flows in the eurozone.","Unlike other European countries that were also severely hit by the Great Recession in the late 2000s and eventually received bailouts in the early 2010s (such as Greece and Ireland), Portugal had the characteristic that the 2000s were not marked by economic growth, but were already a period of economic crisis, marked by stagnation, two recessions (in 2002–03 and 2008–09) and government-sponsored fiscal austerity in order to reduce the budget deficit to the limits allowed by the European Union's Stability and Growth Pact.
According to a report by the Diário de Notícias, Portugal had allowed considerable slippage in state-managed public works and inflated top management and head officer bonuses and wages in the period between the Carnation Revolution in 1974 and 2010. Persistent and lasting recruitment policies boosted the number of redundant public servants. Risky credit, public debt creation, and European structural and cohesion funds were mismanaged across almost four decades. When the global crisis disrupted the markets and the world economy, together with the US subprime mortgage crisis and the eurozone crisis, Portugal was one of the first economies to succumb, and was affected very deeply.
In the summer of 2010, Moody's Investors Service cut Portugal's sovereign bond rating, which led to an increased pressure on Portuguese government bonds. In the first half of 2011, Portugal requested a €78 billion IMF-EU bailout package in a bid to stabilise its public finances.
Portugal's debt was in September 2012 forecast by the Troika to peak at around 124% of GDP in 2014, followed by a firm downward trajectory after 2014. Previously the Troika had predicted it would peak at 118.5% of GDP in 2013, so the developments proved to be a bit worse than first anticipated, but the situation was described as fully sustainable and progressing well. As a result, from the slightly worse economic circumstances, the country has been given one more year to reduce the budget deficit to a level below 3% of GDP, moving the target year from 2013 to 2014. The budget deficit for 2012 has been forecast to end at 5%. The recession in the economy is now also projected to last until 2013, with GDP declining 3% in 2012 and 1% in 2013; followed by a return to positive real growth in 2014. Unemployment rate increased to over 17% by end of 2012 but it has since decreased gradually to 10,5% as of November 2016.
As part of the bailout programme, Portugal was required to regain complete access to financial markets by September 2013. The first step towards this target was successfully taken on 3 October 2012, when the country managed to regain partial market access by selling a bond series with 3-year maturity. Once Portugal regains complete market access, measured as the moment it successfully manage to sell a bond series with a full 10-year maturity, it is expected to benefit from interventions by the ECB, which announced readiness to implement extended support in the form of some yield-lowering bond purchases (OMTs), aiming to bring governmental interest rates down to sustainable levels. A peak for the Portuguese 10-year governmental interest rates happened on 30 January 2012, where it reached 17.3% after the rating agencies had cut the governments credit rating to ""non-investment grade"" (also referred to as ""junk""). As of December 2012, it has been more than halved to only 7%. A successful return to the long-term lending market was made by the issuing of a 5-year maturity bond series in January 2013, and the state regained complete lending access when it successfully issued a 10-year maturity bond series on 7 May 2013.
According to the Financial Times special report on the future of the European Union, the Portuguese government has ""made progress in reforming labour legislation, cutting previously generous redundancy payments by more than half and freeing smaller employers from collective bargaining obligations, all components of Portugal's €78 billion bailout program"". Additionally, unit labour costs have fallen since 2009, working practices are liberali",191651,train-0-191651.png,191651
en,https://en.wikipedia.org/wiki/Near-infrared_window_in_biological_tissue,https://upload.wikimedia.org/wikipedia/commons/2/2a/Molar_extinction_coefficients_of_eumelanin_and_pheomelanin.png,Near-infrared window in biological tissue,Water,Near-infrared window in biological tissue / Absorption properties of tissue components / Water,Figure 3: The molar extinction coefficients of eumelanin and pheomelanin.[5],English: Figure 3: The molar extinction coefficients of eumelanin and pheomelanin.,Figure 3: Figure 3: The molar extinction coefficients of eumelanin and pheomelanin.,image/png,721,987,FALSE,TRUE,FALSE,"The near-infrared window defines the range of wavelengths from 650 to 1350 nanometre where light has its maximum depth of penetration in tissue. Within the NIR window, scattering is the most dominant light-tissue interaction, and therefore the propagating light becomes diffused rapidly. Since scattering increases the distance travelled by photons within tissue, the probability of photon absorption also increases. Because scattering has weak dependence on wavelength, the NIR window is primarily limited by the light absorption of blood at short wavelengths and water at long wavelengths. The technique using this window is called NIRS. Medical imaging techniques such as fluorescence image-guided surgery often make use of the NIR window to detect deep structures.","Although water is nearly transparent in the range of visible light, it becomes absorbing over the near-infrared region. Water is a critical component since its concentration is high in human tissue. The absorption spectrum of water in the range from 250 to 1000 nm is shown in Figure 2. Although absorption is rather low in this spectral range, it still contributes to the overall attenuation of tissue.
 
Other tissue components with less significant contributions to the total absorption spectrum of tissue are melanin and fat.",201657,train-0-201657.png,201657
en,https://en.wikipedia.org/wiki/Rotaviral_gastroenteritis,https://upload.wikimedia.org/wikipedia/commons/4/4e/Rotavirus_seasonal_distribution.png,Rotaviral gastroenteritis,Epidemiology,Rotaviral gastroenteritis / Epidemiology,The seasonal variation of rotavirus A infections in a region of England: rates of infection peak during the winter months.,Modified version of Rotavirus seasonal distribution.jpg This is the seasonal pattern of rotavirus infections seen in the UK.,A line graph with the months and years on the x-axis and the number of infections on the y-axis. The peaks in the line correspond to the winter months of the northern hemisphere.,image/png,482,930,FALSE,TRUE,TRUE,"Rotavirus gastroenteritis is the most common cause of severe diarrhoea among infants and young children. It is caused by Rotavirus, a genus of double-stranded RNA virus in the family Reoviridae. By the age of five, nearly every child in the world has been infected with rotavirus at least once. However, with each infection, immunity develops, and subsequent infections are less severe; adults are rarely affected. There are five species of this virus, referred to as A, B, C, D, and E. Rotavirus A, the most common, causes more than 90% of infections in humans.
The virus is transmitted by the faecal-oral route. It infects and damages the cells that line the small intestine and causes gastroenteritis. Although rotavirus was discovered in 1973 and accounts for up to 50% of hospitalisations for severe diarrhoea in infants and children, its importance is still not widely known within the public health community, particularly in developing countries. In addition to its impact on human health, rotavirus also infects animals, and is a pathogen of livestock.","Rotavirus A, which accounts for more than 90% of rotavirus gastroenteritis in humans, is endemic worldwide. Each year rotavirus causes millions of cases of diarrhoea in developing countries, almost 2 million resulting in hospitalisation and an estimated 453,000 resulting in the death of a child younger than five. This is about 40 per cent of all hospital admissions related to diarrhea in children under five worldwide.
In the United States alone—before initiation of the rotavirus vaccination programme—over 2.7 million cases of rotavirus gastroenteritis occurred annually, 60,000 children were hospitalised and around 37 died from the results of the infection. The major role of rotavirus in causing diarrhoea is not widely recognised within the public health community, particularly in developing countries. Almost every child has been infected with rotavirus by age five. It is the leading single cause of severe diarrhoea among infants and children, being responsible for about 20% of cases, and accounts for 50% of the cases requiring hospitalisation. Rotavirus causes 37% of deaths attributable to diarrhoea and 5% of all deaths in children younger than five. Boys are twice as likely as girls to be admitted to hospital.
Rotavirus infections occur primarily during cool, dry seasons. The number attributable to food contamination is unknown.
Outbreaks of rotavirus A diarrhoea are common among hospitalised infants, young children attending day care centres, and elderly people in nursing homes. An outbreak caused by contaminated municipal water occurred in Colorado in 1981.
During 2005, the largest recorded epidemic of diarrhoea occurred in Nicaragua. This unusually large and severe outbreak was associated with mutations in the rotavirus A genome, possibly helping the virus escape the prevalent immunity in the population. A similar large outbreak occurred in Brazil in 1977.
Rotavirus B, also called adult diarrhoea rotavirus or ADRV, has caused major epidemics of severe diarrhoea affecting thousands of people of all ages in China. These epidemics occurred as a result of sewage contamination of drinking water. Rotavirus B infections also occurred in India in 1998; the causative strain was named CAL. Unlike ADRV, the CAL strain is endemic. To date, epidemics caused by rotavirus B have been confined to mainland China, and surveys indicate a lack of immunity to this species in the United States.",205301,train-0-205301.png,205301
en,https://en.wikipedia.org/wiki/Colorado_River,https://upload.wikimedia.org/wikipedia/commons/b/b1/Coloradoflowgraph.png,Colorado River,Discharge,Colorado River / Discharge,Annual Colorado River discharge volumes at Lee's Ferry between 1895 and 2004,"Graph showing annual flow volumes in the Colorado River, 1890–2010",The average annual discharge of the Colorado River has shown a slight but noticeable decreasing trend between 1895 and 2004.,image/png,193,496,FALSE,TRUE,TRUE,"The Colorado River is one of the principal rivers in the Southwestern United States and northern Mexico. The 1,450-mile-long river drains an expansive, arid watershed that encompasses parts of seven U.S. states and two Mexican states. Starting in the central Rocky Mountains of Colorado, the river flows generally southwest across the Colorado Plateau and through the Grand Canyon before reaching Lake Mead on the Arizona–Nevada border, where it turns south toward the international border. After entering Mexico, the Colorado approaches the mostly dry Colorado River Delta at the tip of the Gulf of California between Baja California and Sonora.
Known for its dramatic canyons, whitewater rapids, and eleven U.S. National Parks, the Colorado River and its tributaries are a vital source of water for 40 million people. The river and its tributaries are controlled by an extensive system of dams, reservoirs, and aqueducts, which in most years divert its entire flow for agricultural irrigation and domestic water supply. Its large flow and steep gradient are used for generating hydroelectric power, and its major dams regulate peaking power demands in much of the Intermountain West.","In its natural state, the Colorado River poured about 16.3 million acre feet (20.1 km³) into the Gulf of California each year, amounting to an average flow rate of 22,500 cubic feet per second (640 m³/s). Its flow regime was not at all steady – indeed, ""prior to the construction of federal dams and reservoirs, the Colorado was a river of extremes like no other in the United States."" Once, the river reached peaks of more than 100,000 cubic feet per second (2,800 m³/s) in the summer and low flows of less than 2,500 cubic feet per second (71 m³/s) in the winter annually.  At Topock, Arizona, about 300 miles (480 km) upstream from the Gulf, a maximum historical discharge of 384,000 cubic feet per second (10,900 m³/s) was recorded in 1884 and a minimum of 422 cubic feet per second (11.9 m³/s) was recorded in 1935. In contrast, the regulated discharge rates on the lower Colorado River below Hoover Dam rarely exceed 35,000 cubic feet per second (990 m³/s) or drop below 4,000 cubic feet per second (110 m³/s). Annual runoff volume has ranged from a high of 22.2 million acre feet (27.4 km³) in 1984 to a low of 3.8 million acre feet (4.7 km³) in 2002, although in most years only a small portion of this flow, if any, reaches the Gulf.
Between 85 and 90 percent of the Colorado River's discharge originates in snowmelt, mostly from the Rocky Mountains of Colorado and Wyoming. The three major upper tributaries of the Colorado—the Gunnison, Green, and San Juan—alone deliver almost 9 million acre feet (11 km³) per year to the main stem, mostly from snowmelt. The remaining 10 to 15 percent comes from a variety of sources, principally groundwater base flow and summer monsoon storms. The latter often produces heavy, highly localized floods on lower tributaries of the river, but does not often contribute significant volumes of runoff. Most of the annual runoff in the basin occurs with the melting of Rocky Mountains snowpack, which begins in April and peaks during May and June before exhausting in late July or early August.
Flows at the mouth of the river have steadily declined since the beginning of the 20th century, and in most years after 1960 the Colorado River has run dry before reaching the Pacific Ocean. Irrigation, industrial, and municipal diversions, evaporation from reservoirs, natural runoff, and likely climate change, have all contributed to this substantial reduction in flow, threatening the water supply for the future. For example, the Gila River—formerly one of the Colorado's largest tributaries—contributes little more than a trickle in most years due to use of its water by cities and farms in central Arizona. The average flow rate of the Colorado at the northernmost point of the Mexico–United States border (NIB, or Northerly International Boundary) is about 2,060 cubic feet per second (58 m³/s), 1.49 million acre feet (1.84 km³) per year—less than a tenth of the natural flow—due to upstream water use. Below this point, the remaining flow is diverted to irrigate the Mexicali Valley, leaving a dry riverbed from Morelos Dam to the sea that is supplemented by intermittent flows of irrigation drainage water. There have been exceptions, however, namely in the early to mid-1980s, when the Colorado once again reached the sea during several consecutive years of record-breaking precipitation and snowmelt. In 1984, so much excess runoff occurred that some 16.5 million acre feet (20.4 km³), or 22,860 cubic feet per second (647 m³/s), poured into the sea.
The United States Geological Survey (USGS) operates or has operated 46 stream gauges to measure the discharge of the Colorado River, ranging from the headwaters near Grand Lake to the Mexico–U.S. border. The tables at right list data associated with eight of these gauges. River flows as gauged at Lee's Ferry, Arizona, about halfway along the length of the Colorado and 16 miles (26 km) below Glen Canyon Dam, are used to determine water allocations in the Colorado River basin. The average discharge recorded there was approximately 14,800 cubic feet per second (420 m³/s), 10.72 million acre ",208920,train-0-208920.png,208920
en,https://en.wikipedia.org/wiki/Normally_distributed_and_uncorrelated_does_not_imply_independent,https://upload.wikimedia.org/wikipedia/commons/8/80/Uncorrelated_sym.png,Normally distributed and uncorrelated does not imply independent,A symmetric example,Normally distributed and uncorrelated does not imply independent / Examples / A symmetric example,"Joint range of
  
    
      
        X
      
    
    {\displaystyle X}
  
 and
  
    
      
        Y
      
    
    {\displaystyle Y}
  
. Darker indicates higher value of the density function.","English: Two normally distributed, uncorrelated but dependent variables.","Two normally distributed, uncorrelated but dependent variables.",image/png,500,500,FALSE,TRUE,FALSE,"In probability theory, although simple examples illustrate that linear uncorrelatedness of two random variables does not in general imply their independence, it is sometimes mistakenly thought that it does imply that when the two random variables are normally distributed.
To say that the pair of random variables has a bivariate normal distribution means that every linear combination of and for constant coefficients and has a univariate normal distribution. In that case, if and are uncorrelated then they are independent. However, it is possible for two random variables and to be so distributed jointly that each one alone is marginally normally distributed, and they are uncorrelated, but they are not independent; examples are given below.","Suppose  has a normal distribution with expected value 0 and variance 1. Let  have the Rademacher distribution, so that  or , each with probability 1/2, and assume  is independent of .  Let . Then
 and  are uncorrelated;
both have the same normal distribution; and
 and  are not independent.
To see that  and  are uncorrelated, one may consider the covariance : by definition, it is
Then by definition of the random variables , , and , and the independence of  from , one has
To see that  has the same normal distribution as , consider
(since  and  both have the same normal distribution), where  is the cumulative distribution function of the normal distribution..
To see that  and  are not independent, observe that  or that .
Finally, the distribution of the simple linear combination  concentrates positive probability at 0: .  Therefore, the random variable  is not normally distributed, and so also  and  are not jointly normally distributed (by the definition above).",236684,train-0-236684.png,236684
en,https://en.wikipedia.org/wiki/Bishop_Auckland,https://upload.wikimedia.org/wikipedia/commons/3/3e/Bishop_Auckland_Population_Pyramid.png,Bishop Auckland,Demography,Bishop Auckland / Demography,"""Population pyramid"" showing the breakdown of the Bishop Auckland's population vs Age compared with the figures for County Durham and England and Wales. Source:[9]","English: Chart showing the breakdown of population vs Age for en:Bishop Auckland, compared with en:County Durham and en:England and en:Wales Source Data: http://www.durham.gov.uk/durhamcc/usp.nsf/Lookup/MC%20Catchment%20Summary%20Sheets%20rates/$file/MC+Catchment+Summary+Sheets+rates.pdf I created this chart myself on en:2007-08-21 Pit-yacker 23:24, 20 August 2007 (UTC)","A bar chart comparing dividing the population into 5-year intervals, and comparing the percentage of the population of Bishop Auckland made up by each interval with the figures for England and Wales and County Durham. The graph shows that the towns population is broadly in line with that nationally, with the exception that Bishop Auckland has a much lower proportion of people aged 20 to 24 years.",image/png,286,607,FALSE,TRUE,TRUE,"Bishop Auckland is a market town and civil parish in County Durham in north east England. It is located about 12 miles northwest of Darlington, 12 miles southwest of Durham and 5 miles southeast of Crook at the confluence of the River Wear with its tributary the River Gaunless. According to the 2001 census, Bishop Auckland has a population of 24,392, increasing to 25,455 according to the 2016 estimate.
Much of the town's early history surrounds the Bishops of Durham and the establishment of a hunting lodge, which later became the main residence of the Bishops of Durham. This link with the Bishops of Durham is reflected in the first part of the town's name.
During the Industrial Revolution, the town grew rapidly as coal mining took hold as an important industry. The subsequent decline of the coal mining industry in the late twentieth century has been blamed for a fall in the town's fortunes in other sectors. Today, the largest sector of employment in the town is manufacturing.
Since 1 April 2009, the town's local government has come from the Durham County Council Unitary Authority. The unitary authority replaced the previous Wear Valley District Council and Durham County Council.","According to the 2001 census, Bishop Auckland has a population of 24,392, living in 10,336 dwellings. Of these dwellings, around 44% are terraced houses, 33% semi-detached houses, and 17% detached houses. As shown in the graph, the distribution of ages in Bishop Auckland was broadly in-line with that of County Durham and England and Wales, although there is a slightly smaller proportion of people between 20 and 24 years old.
Compared with the national average, the town's population performs poorly with regard to qualifications. At 31.9%, the proportion of the town's population with no qualifications is significantly higher than the national average of 23.2% and 29.1%. Similarly, only 13.8% have a degree level qualification (or higher) compared with the national average of 21.1%.
84.8% of the town's population identify themselves as Christian, compared with a national average of 71.7%. There are below averages numbers identifying themselves as belonging to other religion. The people of the town are also more likely to be religious than the national average with only 7.3% stating they had no religion compared with the national average of 14.8%.
At 1.5% of the population, the town has a below average population of foreign born individuals, compared with a national average of 8.9%.",245143,train-0-245143.png,245143
en,https://en.wikipedia.org/wiki/Nanortalik,https://upload.wikimedia.org/wikipedia/commons/6/63/Nanortalik-population-dynamics.png,Nanortalik,Population,Nanortalik / Population,"Nanortalik population growth dynamics, 1991-2010. Source: Statistics Greenland[12]","Population growth dynamics in Nanortalik, Greenland. Numbers from 1991-2010 from Statistics Greenland. (http://bank2.stat.gl/) The graph is own work.",Nanortalik population dynamics,image/png,250,1000,FALSE,TRUE,TRUE,"Nanortalik, formerly Nennortalik, is a town in Nanortalik Island, Kujalleq municipality, southern Greenland. With 1,185 inhabitants as of 2020, it is the eleventh-largest town in the country. The name Nanortalik means ""Place of Polar Bears"" or ""Place Where the Polar Bears Go"". It is the southernmost town in Greenland with a population of over 1,000.","With 1,185 inhabitants as of 2020, Nanortalik is the third-largest town in the Kujalleq municipality. The population has been decreasing over the last several years. Most towns and settlements in southern Greenland exhibit negative growth patterns over the last two decades, with many settlements rapidly depopulating.",283458,train-0-283458.png,283458
en,https://en.wikipedia.org/wiki/Single_crossing_condition,http://upload.wikimedia.org/wikipedia/en/a/a7/Single_Crossing_Condition_example.png,Single crossing condition,Single crossing condition,Single crossing condition,Example of two cumulative distribution functions F(x) and G(x) which satisfy the single-crossing condition.,,Example of two normal cumulative distribution functions F(x) and G(x) which satisfy the single-crossing condition.,image/png,672,672,FALSE,FALSE,FALSE,"In economics, the single-crossing condition or single-crossing property refers to how the probability distribution of outcomes changes as a function of an input and a parameter.
Cumulative distribution functions F and G satisfy the single-crossing condition if there exists a such that
and
;
that is, function crosses the x-axis at most once, in which case it does so from below.
This property can be extended to two or more variables. Given x and t, for all x'>x, t'>t,
and
.
This condition could be interpreted as saying that for x'>x, the function g=F-F crosses the horizontal axis at most once, and from below. The condition is not symmetric in the variables.
The single-crossing condition was posited in Samuel Karlin's 1968 monograph 'Total Positivity'. It was later used by Peter Diamond, Joseph Stiglitz, and Susan Athey, in studying the economics of uncertainty. The single-crossing condition is also used in applications where there are a few agents or types of agents that have preferences over an ordered set. Such situations appear often in information economics, contract theory, social choice and political economics, among other fields.",,307125,train-0-307125.png,307125
en,https://en.wikipedia.org/wiki/European_debt_crisis_contagion,https://upload.wikimedia.org/wikipedia/commons/7/78/Sovereign_credit_default_swaps.png,European debt crisis contagion,European debt crisis contagion,European debt crisis contagion,"Sovereign CDS showing a temporary loss of confidence in creditworthiness of certain EU countries. The left axis is in basis points; a level of 1,000 means it costs $1 million to protect $10 million of debt for five years.","English: Monthly sovereign credit default swap prices (5Y quotes) of selected European countries since January 2010 (price at end of each month). The left axis is in basis points; a level of 1,000 means it costs $1 million to protect $10 million of debt for five years.Data: CNBC (no historical data) If you know of another source with historical CDS quotes, please add it here, thanx.Original data sources: Greece, Portugal, Ireland, Hungary, Italy, Spain, Belgium, France, Germany, and the UK (not available anymore) Deutsch: Monatliche CDS-Preise von 2010 bis 2011. (Die Daten beziehen sich jeweils auf das Monatsende) Čeština: Měsíční CDS ceny vybraných států v letech 2010-2011.",Sovereign credit default swaps for EU countries in 2010-2013,image/png,620,392,FALSE,TRUE,FALSE,"European debt crisis contagion refers to the possible spread of the ongoing European sovereign-debt crisis to other Eurozone countries. This could make it difficult or impossible for more countries to repay or re-finance their government debt without the assistance of third parties. By 2012 the debt crisis forced five out 17 Eurozone countries to seek help from other nations. Some believed that negative effects could spread further possibly forcing one or more countries into default.
However, as of October 2012 the contagion risk for other eurozone countries has greatly diminished due to a successful fiscal consolidation and implementation of structural reforms in the countries being most at risk. None of the following countries is in danger of being cut off from financial markets.","European debt crisis contagion refers to the possible spread of the ongoing European sovereign-debt crisis to other Eurozone countries. This could make it difficult or impossible for more countries to repay or re-finance their government debt without the assistance of third parties. By 2012 the debt crisis forced five out 17 Eurozone countries to seek help from other nations. Some believed that negative effects could spread further possibly forcing one or more countries into default.
However, as of October 2012 the contagion risk for other eurozone countries has greatly diminished due to a successful fiscal consolidation and implementation of structural reforms in the countries being most at risk. None of the following countries is in danger of being cut off from financial markets.",359850,train-0-359850.png,359850
en,https://en.wikipedia.org/wiki/Ikerasaarsuk,https://upload.wikimedia.org/wikipedia/commons/3/3b/Ikerasaarsuk-population-dynamics.png,Ikerasaarsuk,Population,Ikerasaarsuk / Population,Ikerasaarsuk population growth dynamics in the last two decades. Source: Statistics Greenland[4],"Population growth dynamics in Ikerasaarsuk, Greenland. Numbers from 1991-2010 from Statistics Greenland. (http://bank2.stat.gl/) The graph is own work.",Ikerasaarsuk population dynamics,image/png,250,1000,FALSE,TRUE,TRUE,Ikerasaarsuk is a village in the Qaasuitsup municipality in western Greenland. Its population was 90 in 2020.,"The population of Ikerasaarsuk has been stable in the last two decades, increasing by half since 1990, and levelling off in the 2000s.",370954,train-0-370954.png,370954
en,https://en.wikipedia.org/wiki/Electricity_sector_in_Germany,https://upload.wikimedia.org/wikipedia/commons/4/4f/Electricity-price-germany-components.png,Electricity sector in Germany,Electricity prices,Electricity sector in Germany / Electricity prices,Components of the German Electricity Price for Households Source,Deutsch: Components German Electricity Price 2016 for households and small businesses (new Version 2017),Components Electricity Price Germany,image/png,600,800,FALSE,TRUE,FALSE,"Germany's electrical grid is part of the Synchronous grid of Continental Europe. In 2019, Germany produced 516 TWh of electricity of which 46% was from renewable energy sources, 29% from coal, and 10% from natural gas. This is a major change from 2018, when a full 38% was from coal, only 40% was from renewable energy sources, and 8% was from natural gas.
Even though renewables production increased significantly between 1991 and 2017, fossil power production remained at more or less constant levels. In the same period, nuclear power production decreased, much of the increase in renewables had to be spent to fill the gap left behind by closing nuclear power plants. Germany will phase-out nuclear power by 2022, meaning that future growth in renewables will be needed to fill the gap again. Germany also plans to phase out coal, but not until 2038.","German prices in 2017 were €29.16 cents per kwh for residential customers, an increase of 35% over 2008.
German households and small businesses pay the second highest electricity price in Europe for many years in a row now.
More than half of the power price consists of components determined by the state.
These include charges for using power grids (24.6%), levies for financing investment in renewable energy (22.1%) and for other kinds of taxes (e.g. GST 16%).",395010,train-0-395010.png,395010
