topic,category,participant_id,descriptions,difficulty_rating,image,is_data_visualization,languages,minivlat_answers,minivlat_time,reaction_times,self_understanding,timeSpent,topic,trial_number,desc_type,minivlat_score,num_words,caption,alttext,char_count,num_words_caption,num_words_alttext,desc_caption_jaccard,desc_alttext_jaccard,desc_caption_sbert,desc_alttext_sbert,jaccard_alttext_caption,sbert_alttext_caption,CLIPScore,colour_terms,numbers_raw_count,hedge_terms,trend_terms
Nanortalik,Nanortalik / Population,5746ffe9055aec7112c0b221,"The bar graph illustrates the rise and fall of population numbers of Nanortalik from 1991-2010, according to Statistics Greenland. The populations per year are as follows. 1991:1441, 1992:1483, 1993:1499, 1994:1508, 1995:1564, 1996:1527, 1997:1541, 1998:1506, 1999:1516, 2000:1538, 2001:1506, 2002:1544, 2003:1549, 2004:1529, 2005:1509, 2006:1476, 2007:1450, 2008:1445, 2009:1430, 2010:1448. The year 1995 saw the highest population, and the year 2009 saw the lowest.",4,prolific/train-0-283458.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.613166667,309536,4,23.59841667,Nanortalik,2,first,11,85,"Nanortalik population growth dynamics, 1991-2010. Source: Statistics Greenland[12]",Nanortalik population dynamics,467,14,3,0.7380952381,0.425,0.6895676851,0.5297656059,0,0.6886775494,0.8086,0,44,0,3
Nutaarmiut,Nutaarmiut / Population,f7e425612f36aa3600b1e872,Annual bar graph of the population,1,prolific/train-0-42178.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.637583333,79173,3,18.7769,Nutaarmiut,0,first,11,6,Nutaarmiut population growth dynamics in the last two decades. Source: Statistics Greenland[2],Nutaarmiut population dynamics,34,17,3,0.4333333333,0.4545454545,0.2830087543,0.3519662023,0,0.7322562337,0.7427,0,0,0,0
Federal political financing in Canada,Federal political financing in Canada / Private funding / Cost of fundraising,f7e425612f36aa3600b1e872,3-d bar graph showing fundraising expenses compared to contributions for each party individually and combined,1,prolific/train-0-14152.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.637583333,135306,3,18.7769,Federal political financing in Canada,1,first,11,15,Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009 (source: Elections Canada[4]),Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009,109,24,15,0.5526315789,0.6774193548,0.6745352745,0.6723890305,0,0.9816362858,0.787,0,1,0,0
Ernie Toshack with the Australian cricket team in England in 1948,Ernie Toshack with the Australian cricket team in England in 1948 / Role,f7e425612f36aa3600b1e872,"From May to Aug, runs scored per inning is shown. Highest being in June & July.",5,prolific/train-0-24640.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.637583333,289113,3,18.7769,Ernie Toshack with the Australian cricket team in England in 1948,2,first,11,19,"A chart showing Toshack's batting performance during the tour. The runs scored per innings are represented by the bars, with the red bars being Test innings and the pink bars being other first-class innings. The blue line is the average of the five most recent innings and the dots indicate not outs.[10]","Toshack started the season with five first-class innings outside the Tests, and all were less than 10 and four were less than five, none were not out. He then scored two scores between 15 and 20 in the Tests, with a score of four outside the Tests in between. After scores of 1 and zero not out in the next two tour matches, he scored 12 not out in his third and final Test innings. He then finished with two in a tour match. All of his efforts beyond ten were in Tests, and he passed ten in all three Test innings, two of these being not out.",80,60,119,0.6052631579,0.6153846154,0.4815381765,0.2532080412,0,0.585480094,0.7227,0,0,0,0
Green marketing,Green marketing / Adoptability / LOHAS,bfedc75d67814bbaee8de85d,% of general population in NMI defined consumer segments. 26% conventionals. 19% drifters. 19% naturalites. 19% unconcerned. 17% lohas.,2,prolific/train-0-480642.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.423433333,271323,3,16.25373333,Green marketing,0,first,11,30,The distribution of the different types of LOHAS.[26],The distribution of the different types of LOHAS.,135,12,9,0.4102564103,0.3783783784,0.3192741871,0.3139550984,0,0.9695470929,0.9663,0,5,0,0
Normally distributed and uncorrelated does not imply independent,Normally distributed and uncorrelated does not imply independent / Examples / A symmetric example,bfedc75d67814bbaee8de85d,Joint range of X {\displaystyle X} and Y {\displaystyle Y} . Darker indicates higher value of the density function. Creating an asymmetrical ‘X’ on an XY axis chart.,5,prolific/train-0-236684.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.423433333,136331,3,16.25373333,Normally distributed and uncorrelated does not imply independent,1,first,11,36,"Joint range of
  
  
  
  X
  
  
  {\displaystyle X}
  
  and
  
  
  
  Y
  
  
  {\displaystyle Y}
  
 . Darker indicates higher value of the density function.","Two normally distributed, uncorrelated but dependent variables.",165,24,9,0.8235294118,0.4864864865,0.9035309553,0.2573243678,0,0.216137737,0.831,0,0,1,1
Bishop Auckland,Bishop Auckland / Demography,bfedc75d67814bbaee8de85d,"The comparison between ‘England and Wales’, ‘County of Durham’, and ‘Bishop Auckland’. The percent of population with Age groups on an XY axis chart.",3,prolific/train-0-245143.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.423433333,150316,3,16.25373333,Bishop Auckland,2,first,11,34,"""Population pyramid"" showing the breakdown of the Bishop Auckland's population vs Age compared with the figures for County Durham and England and Wales. Source:[9]","A bar chart comparing dividing the population into 5-year intervals, and comparing the percentage of the population of Bishop Auckland made up by each interval with the figures for England and Wales and County Durham. The graph shows that the towns population is broadly in line with that nationally, with the exception that Bishop Auckland has a much lower proportion of people aged 20 to 24 years.",149,32,71,0.6444444444,0.7619047619,0.8164668083,0.799153924,0,0.7968633175,0.8506,0,0,0,0
Great Southern Group,Great Southern Group / Fall,80c4428b9633a51eb941c6c0,"From 1999 through 2002, total assets and net assets remained steady, with a sharp increase beginning in 2003 leading into 2009 where it has leveled off and peaked at a 900% increase.",3,prolific/train-0-105181.jpg,TRUE,"English, Spanish.","{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.09225,126501,3,17.15258333,Great Southern Group,0,first,9,36,"Great Southern Group's assets. Net assets were ultimately limited by the company's ""unsustainable levels"" of debt.[4]","area graph with years on the x-axis, ranging from 1999 to 2008, and thousands of dollars on the y-axis. Two areas are shown: net assets climb until 2005 then stay at a similar level to 2008, below the 800 million dollar line; gross assets climb above net assets and are still increasing in 2008, where they are near the 1.8 billion dollar line",182,25,70,0.55,0.7179487179,0.3528643548,0.5181388855,0,0.3171207309,0.7837,0,5,0,2
Anatomy of an Epidemic,Anatomy of an Epidemic / Synopsis / Magic bullets,80c4428b9633a51eb941c6c0,"Both SSDI, SSI recipients with mental disability has continued to increase at a steady pace with Prozac introduced, with 2003 Total number of SSI and SDI payments to disabled mentally ill recepients peaking at 6,000,000.",5,prolific/train-0-29695.png,TRUE,"English, Spanish.","{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.09225,252775,3,17.15258333,Anatomy of an Epidemic,1,first,9,38,"Number of Americans who received SSDI and SSI for mental disability in 1987 (blue) when Eli Lilly and Company introduced the antidepressive drug Prozac, compared to 2003 (red).",Chart showing increase (in red) over baseline (in blue) between 1987 and 2003,220,34,17,0.6595744681,0.4651162791,0.6048475504,0.1145393401,0,0.06947505474,0.6167,0,4,0,2
Cloture,Cloture / United States / Procedure,80c4428b9633a51eb941c6c0,"Cloture motions, votes on cloture and cloture invoked remained steady from 1917 with slight increases in 1925/1926, and 1945/1946, 20 years later, before leveling off to lowest numbers in 1955/1956. Cloture motions beginning in 1967 throughout 1974 increased sharply, following votes on cloture, and lastly following a similar pattern were cloture invoked. Which all 3 continued to increase in similar patterns following one another in the same pattern throughout until sharply peaking in 2007/2008, before tapering off.",4,prolific/train-0-76637.png,TRUE,"English, Spanish.","{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.09225,170870,3,17.15258333,Cloture,2,first,9,87,"Cloture voting in the United States Senate , 1917−2014.[43]","Number of cloture motions filed, voted on, and invoked by the U.S. Senate, 1917−2014.",520,13,18,0.5813953488,0.6666666667,0.5936933756,0.6522400975,0,0.7984388471,1.01,0,13,0,5
Safety of electronic cigarettes,"Safety of electronic cigarettes / Fires, explosions, and other battery-related malfunctions",080c2c3082160c8ea3aeca8f,Cigarette sales have increased dramatically in recent years; a 2016 survey found that the number of e-cigarettes sold nearly reached the number of explosions.,3,prolific/train-0-407025.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 4', 'question12': 'Skip', 'question2': 'USA', 'question3': '30-40 km', 'question4': 'True', 'question5': '25.3%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",11.62805,142300,2,25.09301667,Safety of electronic cigarettes,0,first,7,26,Graphic from a July 2016 United States Fire Administration (USFA) report entitled Electronic Cigarette Fires and Explosions in the United States 2009 – 2016.[326] There has been an increase in the number of severe and moderate injuries resulting from e-cigarette explosions and fires since 2014.[326] The USFA noted that this appears to correlate well with the e-cigarette sales trend.[326],Graphic from a July 2016 United States Fire Administration (USFA) report entitled Electronic Cigarette Fires and Explosions in the United States 2009 – 2016. There has been an increase in the number of severe and moderate injuries resulting from e-cigarette explosions and fires since 2014. The USFA noted that this appears to correlate well with the e-cigarette sales trend.,158,73,64,0.6041666667,0.6444444444,0.6955771446,0.6658993959,0,0.9825590849,0.7935,0,1,1,1
European debt crisis,European debt crisis / Evolution of the crisis / Portugal,080c2c3082160c8ea3aeca8f,Portugal's debt is nearly one and a half times greater than that of the rest of Europe.,3,prolific/train-0-191651.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 4', 'question12': 'Skip', 'question2': 'USA', 'question3': '30-40 km', 'question4': 'True', 'question5': '25.3%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",11.62805,114929,2,25.09301667,European debt crisis,1,first,7,19,Debt of Portugal compared to eurozone average since 1999,Portuguese debt compared to eurozone average,87,9,6,0.6206896552,0.5769230769,0.7578625679,0.7197715044,0,0.9336457253,0.873,0,0,1,0
Great Southern Group,Great Southern Group / Fall,f477fa1a67243424248efbbd,"A graph depicting the assets of Great Southern Group with two sets of data depicted Net assets in the color green and total assets in the color red the graph includes data from 1999-2008 and accounts for assets up to $1,800,000.",3,prolific/train-0-105181.jpg,FALSE,English,"{'question1': 'False', 'question10': 'Skip', 'question11': 'Skip', 'question12': 'True', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.623283333,153548,2,12.52481667,Great Southern Group,0,first,8,43,"Great Southern Group's assets. Net assets were ultimately limited by the company's ""unsustainable levels"" of debt.[4]","area graph with years on the x-axis, ranging from 1999 to 2008, and thousands of dollars on the y-axis. Two areas are shown: net assets climb until 2005 then stay at a similar level to 2008, below the 800 million dollar line; gross assets climb above net assets and are still increasing in 2008, where they are near the 1.8 billion dollar line",228,25,70,0.55,0.675,0.3707597256,0.5687100887,0,0.3171207309,1.033,2,5,0,1
InflateSail,InflateSail / Altitude loss,f477fa1a67243424248efbbd,A graph depicting the mean height in KM for a company INFLATESAIL the data is from 2017 and ranges from 480-380 the mean height decreased overtime.,3,prolific/train-0-183840.jpg,TRUE,English,"{'question1': 'False', 'question10': 'Skip', 'question11': 'Skip', 'question12': 'True', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.623283333,102438,2,12.52481667,InflateSail,1,first,8,27,Change in average orbit height during August 2017[11],Change in average orbit height during August 2017,147,11,8,0.4285714286,0.45,0.2720342577,0.289262712,0,0.9874690771,0.7764,0,3,0,1
Elections in Croatia,Elections in Croatia / Parliamentary elections / Previous parliamentary elections,f477fa1a67243424248efbbd,The seven main political faction's in Croatian parliamentary elections results from 1992-2016 in line graph form.,2,prolific/train-0-472392.png,TRUE,English,"{'question1': 'False', 'question10': 'Skip', 'question11': 'Skip', 'question12': 'True', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.623283333,101744,2,12.52481667,Elections in Croatia,2,first,8,18,"Croatian parliamentary election results, 1992–2016; parties winning 10 or more seats in any one election shown individually","Graph of Croatian election results, using differently-colored lines",115,19,9,0.7058823529,0.59375,0.6693137884,0.705055356,0,0.612041831,0.805,0,2,0,0
Ernie Toshack with the Australian cricket team in England in 1948,Ernie Toshack with the Australian cricket team in England in 1948 / Role,5a5cd625f4e3d85303bb797c,The pink bars are very low. There were only 3 instances where the test innings were signigantly higher than the first class innings. Average is between approximately 4 runs to 18. Average increased great deal towards last two months,2,prolific/train-0-24640.png,TRUE,english,"{'question1': 'True', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '25.3%', 'question6': 'Seoul', 'question7': '$4.5', 'question8': '$50.54', 'question9': '42.30 Mbps'}",6.0953,332829,3,20.95428333,Ernie Toshack with the Australian cricket team in England in 1948,1,first,6,42,"A chart showing Toshack's batting performance during the tour. The runs scored per innings are represented by the bars, with the red bars being Test innings and the pink bars being other first-class innings. The blue line is the average of the five most recent innings and the dots indicate not outs.[10]","Toshack started the season with five first-class innings outside the Tests, and all were less than 10 and four were less than five, none were not out. He then scored two scores between 15 and 20 in the Tests, with a score of four outside the Tests in between. After scores of 1 and zero not out in the next two tour matches, he scored 12 not out in his third and final Test innings. He then finished with two in a tour match. All of his efforts beyond ten were in Tests, and he passed ten in all three Test innings, two of these being not out.",234,60,119,0.7297297297,0.7368421053,0.6683912277,0.4591818154,0,0.585480094,0.8247,1,3,1,2
Safety of electronic cigarettes,"Safety of electronic cigarettes / Fires, explosions, and other battery-related malfunctions",5a5cd625f4e3d85303bb797c,"The caption is very adequate description of graph. Would only add that in 2009-2012 low incident. 2014 to 2016 alarming rate of increased sales correlated to higher (3,000) incidents",1,prolific/train-0-407025.png,TRUE,english,"{'question1': 'True', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '25.3%', 'question6': 'Seoul', 'question7': '$4.5', 'question8': '$50.54', 'question9': '42.30 Mbps'}",6.0953,202937,3,20.95428333,Safety of electronic cigarettes,2,first,6,33,Graphic from a July 2016 United States Fire Administration (USFA) report entitled Electronic Cigarette Fires and Explosions in the United States 2009 – 2016.[326] There has been an increase in the number of severe and moderate injuries resulting from e-cigarette explosions and fires since 2014.[326] The USFA noted that this appears to correlate well with the e-cigarette sales trend.[326],Graphic from a July 2016 United States Fire Administration (USFA) report entitled Electronic Cigarette Fires and Explosions in the United States 2009 – 2016. There has been an increase in the number of severe and moderate injuries resulting from e-cigarette explosions and fires since 2014. The USFA noted that this appears to correlate well with the e-cigarette sales trend.,184,73,64,0.66,0.6666666667,0.2592797875,0.260027349,0,0.9825590849,0.8496,0,6,0,2
